,Date,Open,High,Low,Close,Adj Close,Volume,change,log_return
150,2021-12-22,169.270004,172.050003,168.500504,171.037003,171.037003,55036000,0.00363811107186025,0.0036315091532715
151,2021-12-21,167.850494,170.716507,165.647507,170.417007,170.417007,55956000,0.0199786454305643,0.0197816912246338
152,2021-12-20,166.850006,167.874496,165.600006,167.078995,167.078995,57372000,-0.0172835559012037,-0.0174346601638592
153,2021-12-17,167.710495,170.898499,165.613495,170.017502,170.017502,85542000,0.0067892058815403,0.0067662630073479
154,2021-12-16,173.3685,174.166,168.160507,168.871002,168.871002,60876000,-0.0256411732897767,-0.0259756379375166
155,2021-12-15,168.598007,173.600006,165.195007,173.315002,173.315002,75794000,0.0249775702809248,0.0246707296981864
156,2021-12-14,167.550003,169.498993,166.440002,169.091507,169.091507,55976000,-0.00280712982124732,-0.00281107719909602
157,2021-12-13,172,172.100006,169.130005,169.567505,169.567505,62170000,-0.0153560780193222,-0.015475203694346
158,2021-12-10,175.417007,175.927002,170.5,172.212006,172.212006,60690000,-0.0112475609818064,-0.0113112931339671
159,2021-12-09,175.75,176.969498,174.139496,174.171005,174.171005,46062000,-0.0112796463606635,-0.0113437440268229
160,2021-12-08,176.150497,177.179993,174.750504,176.158005,176.158005,45254000,-3.68973307079562E-05,-3.6898011431248E-05
161,2021-12-07,174.600006,177.499496,173.334503,176.164505,176.164505,66410000,0.0279865027703457,0.0276020373459483
162,2021-12-06,169.649994,173.695496,166.934494,171.3685,171.3685,68860000,0.0110862205495183,0.0110252188446428
163,2021-12-03,172.75,173.4935,166.929993,169.489502,169.489502,80712000,-0.0138390744952889,-0.0139357272458528
164,2021-12-02,173,174.634995,171.1875,171.867996,171.867996,64726000,-0.00184689226049463,-0.00184859986884189
165,2021-12-01,177.25,177.994003,172.080002,172.186005,172.186005,74916000,-0.0180634831925225,-0.0182286195529306
166,2021-11-30,178.175003,179.288498,174.600494,175.3535,175.3535,80022000,-0.0153022734815622,-0.0154205615373445
167,2021-11-29,177.382004,179.800003,176.574997,178.078506,178.078506,65312000,0.0162674289999447,0.0161365320402671
168,2021-11-26,180.104996,181.675003,175.207504,175.227997,175.227997,59826000,-0.0211847031389864,-0.0214123193573436
169,2021-11-24,178.133499,180.682007,176.842499,179.020493,179.020493,46560000,0.000103317281948207,0.00010331194508545
170,2021-11-23,179.251999,181.052505,176.385498,179.001999,179.001999,73804000,0.00209095979950446,0.00208877678559612
171,2021-11-22,183.819,185.673004,178.375,178.628494,178.628494,96844000,-0.028287299468125,-0.0286950937972614
172,2021-11-19,185.634506,188.107498,183.785995,183.828506,183.828506,98734000,-0.00527311803184319,-0.00528706998721699
173,2021-11-18,178.317505,185.210007,178.050003,184.802994,184.802994,114070000,0.0414370083083181,0.0406014981887109
174,2021-11-17,178.235992,179.362503,177.267502,177.449997,177.449997,51206000,0.00234412963890469,0.00234138645310834
175,2021-11-16,176.949997,178.824997,176.257507,177.035004,177.035004,44342000,-0.00140448661026078,-0.00140547382604252
176,2021-11-15,176.850006,179.694,176.290497,177.283997,177.283997,58594000,0.00582380868464227,0.00580691586614132
177,2021-11-12,174.25,177.036499,172.352493,176.257507,176.257507,53788000,0.0151620273578114,0.0150482326186196
178,2021-11-11,175.649994,177.162003,173.373505,173.625,173.625,45288000,-0.00274259714362625,-0.00274636495380611
179,2021-11-10,178.193497,180.272507,173.154495,174.102493,174.102493,80548000,-0.0263349962633554,-0.0266879731688141
180,2021-11-09,175.762497,179.688507,175.071503,178.811493,178.811493,85898000,0.0250072392215709,0.0246996752206221
181,2021-11-08,176.162003,178.949997,174.393005,174.449005,174.449005,61480000,-0.00852794727859767,-0.00856451828651043
182,2021-11-05,173.850006,178.3125,173.848999,175.949493,175.949493,99940000,0.0120764275383458,0.0120040892966357
183,2021-11-04,168.5,174.931503,168.25,173.850006,173.850006,107060000,0.0274823231823108,0.0271114635247543
184,2021-11-03,165.449997,169.746002,164.876007,169.199997,169.199997,67944000,0.0215078111208116,0.0212797819627125
185,2021-11-02,165.750504,166.556,164.177505,165.637497,165.637497,52552000,-0.00161540754688182,-0.00161671372451542
186,2021-11-01,168.089996,168.792999,164.600998,165.905502,165.905502,72178000,-0.0161071032066337,-0.016238232576089
187,2021-10-29,165.001007,168.740997,163.666,168.621506,168.621506,129722000,-0.0215112408622633,-0.0217459800630531
188,2021-10-28,170.104996,173.949997,169.300003,172.328506,172.328506,114174000,0.0159411527448253,0.0158154269520848
189,2021-10-27,169.399994,171.850006,168.572495,169.624496,169.624496,54044000,0.00486363739253578,0.00485184811857546
